"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-25 07:49:09.064","3"
"2024-03-25 07:49:13.071","6"
"2024-03-25 07:51:57.731","7"
"2024-03-25 07:51:58.733","2"
"2024-03-25 07:55:17.788","3"
"2024-03-25 07:55:21.793","6"
"2024-03-25 07:56:16.906","7"
"2024-03-25 07:56:17.909","2"
"2024-03-25 07:57:50.594","3"
"2024-03-25 07:57:55.603","6"
"2024-03-25 07:58:56.773","7"
"2024-03-25 07:58:59.779","2"
"2024-03-25 08:00:56.708","3"
"2024-03-25 08:01:01.716","6"
"2024-03-25 08:02:12.603","7"
"2024-03-25 08:02:18.613","2"
"2024-03-25 08:03:21.991","6"
"2024-03-25 08:06:43.992","7"
"2024-03-25 08:06:50.014","2"
"2024-03-25 08:07:44.164","3"
"2024-03-25 08:07:45.164","6"
"2024-03-25 08:10:50.835","7"
"2024-03-25 08:10:55.848","2"
"2024-03-25 08:11:46.244","6"
"2024-03-25 08:16:31.926","7"
"2024-03-25 08:16:37.939","2"
"2024-03-25 08:17:54.106","6"
"2024-03-25 08:20:09.906","7"
"2024-03-25 08:20:15.920","2"
"2024-03-25 08:21:29.073","6"
"2024-03-25 08:24:24.125","7"
"2024-03-25 08:24:29.137","2"
"2024-03-25 08:26:05.861","3"
"2024-03-25 08:26:09.873","6"
"2024-03-25 08:28:37.068","7"
"2024-03-25 08:28:43.078","2"
"2024-03-25 08:29:43.200","3"
"2024-03-25 08:29:44.200","6"
"2024-03-25 08:33:13.096","7"
"2024-03-25 08:33:17.106","2"
"2024-03-25 08:34:05.371","6"
"2024-03-25 08:39:09.891","2"
"2024-03-25 08:49:05.367","3"
"2024-03-25 08:49:11.878","6"
"2024-03-25 08:55:20.015","2"
"2024-03-25 08:56:50.887","3"
"2024-03-25 08:56:53.892","6"
"2024-03-25 08:57:41.274","7"
"2024-03-25 08:57:43.280","2"
"2024-03-25 08:58:39.481","3"
"2024-03-25 08:58:44.991","6"
"2024-03-25 09:00:24.186","7"
"2024-03-25 09:00:28.196","2"
"2024-03-25 09:01:11.304","6"
"2024-03-25 09:01:42.869","7"
"2024-03-25 09:01:45.369","2"
"2024-03-25 09:02:20.124","3"
"2024-03-25 09:02:25.137","6"
"2024-03-25 09:04:53.026","7"
"2024-03-25 09:04:56.032","2"
"2024-03-25 09:05:52.326","3"
"2024-03-25 09:05:57.336","6"
"2024-03-25 09:08:08.184","7"
"2024-03-25 09:08:13.195","2"
"2024-03-25 09:16:12.244","3"
"2024-03-25 09:16:27.278","6"
"2024-03-25 09:18:55.260","7"
"2024-03-25 09:19:00.272","2"
"2024-03-25 09:20:00.567","6"
"2024-03-25 09:21:41.322","7"
"2024-03-25 09:21:46.331","2"
"2024-03-25 09:22:52.456","6"
"2024-03-25 09:26:25.574","7"
"2024-03-25 09:26:30.585","2"
"2024-03-25 09:57:33.874","3"
"2024-03-25 09:57:35.878","6"
"2024-03-25 10:02:44.867","2"
"2024-03-25 10:03:41.473","3"
"2024-03-25 10:03:42.474","6"
"2024-03-25 10:05:21.697","7"
"2024-03-25 10:05:27.706","2"
"2024-03-25 10:07:32.010","6"
"2024-03-25 10:10:39.013","2"
"2024-03-25 10:11:10.075","3"
"2024-03-25 10:11:11.076","6"
"2024-03-25 10:13:53.788","2"
"2024-03-25 10:15:21.965","3"
"2024-03-25 10:15:23.972","6"
"2024-03-25 10:18:15.993","7"
"2024-03-25 10:18:21.044","2"
"2024-03-25 10:19:12.189","6"
"2024-03-25 10:24:22.633","2"
"2024-03-25 10:24:30.657","6"
"2024-03-25 10:25:49.800","7"
"2024-03-25 10:25:55.814","2"
"2024-03-25 10:29:16.440","6"
"2024-03-25 10:30:18.688","7"
"2024-03-25 10:30:20.692","2"
"2024-03-25 10:32:44.757","3"
"2024-03-25 10:32:50.269","6"
"2024-03-25 10:36:42.379","2"
"2024-03-25 10:40:28.647","3"
"2024-03-25 10:40:29.650","6"
"2024-03-25 10:43:41.671","7"
"2024-03-25 10:43:45.677","2"
"2024-03-25 10:45:11.599","6"
"2024-03-25 10:49:30.300","2"
"2024-03-25 10:50:35.460","3"
"2024-03-25 10:50:37.464","6"
"2024-03-25 10:53:20.500","7"
"2024-03-25 10:53:24.510","2"
"2024-03-25 10:54:40.304","6"
"2024-03-25 10:58:23.386","7"
"2024-03-25 10:58:27.396","2"
"2024-03-25 10:59:55.577","6"
"2024-03-25 11:13:02.991","2"
"2024-03-25 11:15:07.926","3"
"2024-03-25 11:15:13.935","6"
"2024-03-25 11:16:17.072","7"
"2024-03-25 11:16:20.582","2"
"2024-03-25 11:17:57.038","3"
"2024-03-25 11:18:01.048","6"
"2024-03-25 11:18:49.657","7"
