"id","time","previous","difference","productionLineName","seats","spacers"
35295,"2024-03-07 20:40:22.70123+00","2024-03-07 20:40:20.185563+00","00:00:02.515667","25",False,False
35801,"2024-03-13 11:41:50.29073+00","2024-03-13 11:41:46.783555+00","00:00:03.507175","25",False,False
35500,"2024-03-11 19:30:17.02699+00","2024-03-11 19:30:11.32118+00","00:00:05.70581","25",False,False
35487,"2024-03-11 18:07:10.909131+00","2024-03-11 18:07:04.454874+00","00:00:06.454257","25",False,False
35744,"2024-03-13 02:52:27.027723+00","2024-03-13 02:52:19.49892+00","00:00:07.528803","25",False,False
35179,"2024-03-07 11:25:01.483057+00","2024-03-07 11:24:52.891758+00","00:00:08.591299","25",False,False
35677,"2024-03-12 18:14:45.117879+00","2024-03-12 18:14:33.066816+00","00:00:12.051063","25",False,False
35826,"2024-03-13 13:37:11.110225+00","2024-03-13 13:36:58.085272+00","00:00:13.024953","25",False,False
35875,"2024-03-13 19:29:25.565678+00","2024-03-13 19:29:10.978098+00","00:00:14.58758","25",False,False
35894,"2024-03-13 21:35:21.139266+00","2024-03-13 21:35:05.854603+00","00:00:15.284663","25",False,False
35681,"2024-03-12 18:37:40.611222+00","2024-03-12 18:37:25.211215+00","00:00:15.400007","25",False,False
35609,"2024-03-12 11:57:06.881124+00","2024-03-12 11:56:49.357386+00","00:00:17.523738","25",False,False
35480,"2024-03-11 17:27:55.114279+00","2024-03-11 17:27:35.847979+00","00:00:19.2663","25",False,False
35290,"2024-03-07 20:21:13.855185+00","2024-03-07 20:20:53.549681+00","00:00:20.305504","25",False,False
35262,"2024-03-07 18:12:42.359993+00","2024-03-07 18:12:20.201753+00","00:00:22.15824","25",False,False
35438,"2024-03-11 13:21:40.350517+00","2024-03-11 13:21:17.932881+00","00:00:22.417636","25",False,False
35432,"2024-03-11 12:51:18.217526+00","2024-03-11 12:50:53.351728+00","00:00:24.865798","25",False,False
35217,"2024-03-07 14:25:32.859779+00","2024-03-07 14:25:06.651563+00","00:00:26.208216","25",False,False
35483,"2024-03-11 17:41:59.920171+00","2024-03-11 17:41:32.85026+00","00:00:27.069911","25",False,False
35653,"2024-03-12 15:48:37.221893+00","2024-03-12 15:48:04.866575+00","00:00:32.355318","25",False,False
35606,"2024-03-12 11:46:16.855069+00","2024-03-12 11:45:43.23533+00","00:00:33.619739","25",False,False
35667,"2024-03-12 17:30:58.663609+00","2024-03-12 17:30:19.691393+00","00:00:38.972216","25",False,False
35214,"2024-03-07 14:07:03.574886+00","2024-03-07 14:06:21.09397+00","00:00:42.480916","25",False,False
35274,"2024-03-07 18:53:52.954755+00","2024-03-07 18:53:07.677582+00","00:00:45.277173","25",False,False
35723,"2024-03-13 00:29:02.531904+00","2024-03-13 00:28:14.182882+00","00:00:48.349022","25",False,False
35642,"2024-03-12 14:30:04.503291+00","2024-03-12 14:29:13.408692+00","00:00:51.094599","25",False,False
35635,"2024-03-12 13:43:34.294508+00","2024-03-12 13:42:39.675335+00","00:00:54.619173","25",False,False
35691,"2024-03-12 19:40:34.971552+00","2024-03-12 19:39:36.639612+00","00:00:58.33194","25",False,False
35626,"2024-03-12 13:06:13.39218+00","2024-03-12 13:05:12.68746+00","00:01:00.70472","25",False,False
35619,"2024-03-12 12:30:47.389339+00","2024-03-12 12:29:42.102751+00","00:01:05.286588","25",False,False
35872,"2024-03-13 19:14:00.885524+00","2024-03-13 19:12:53.516426+00","00:01:07.369098","25",False,False
35772,"2024-03-13 05:24:11.379215+00","2024-03-13 05:22:59.397789+00","00:01:11.981426","25",NULL,NULL
35457,"2024-03-11 15:02:08.340242+00","2024-03-11 15:00:55.946981+00","00:01:12.393261","25",False,False
35613,"2024-03-12 12:10:25.33435+00","2024-03-12 12:09:11.647789+00","00:01:13.686561","25",False,False
35293,"2024-03-07 20:33:20.968387+00","2024-03-07 20:32:03.875447+00","00:01:17.09294","25",False,False
