"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-20 18:33:05.744","3"
"2024-03-20 18:33:07.748","6"
"2024-03-20 18:35:13.087","7"
"2024-03-20 18:35:15.098","2"
"2024-03-20 18:38:47.108","3"
"2024-03-20 18:38:48.111","6"
"2024-03-20 18:38:50.113","7"
"2024-03-20 18:38:51.119","2"
"2024-03-20 18:39:11.659","3"
"2024-03-20 18:39:13.663","6"
"2024-03-20 18:40:34.888","3"
"2024-03-20 18:40:37.893","6"
"2024-03-20 18:40:45.907","7"
"2024-03-20 18:40:49.929","2"
"2024-03-20 18:41:54.126","3"
"2024-03-20 18:41:58.130","6"
"2024-03-20 18:44:47.961","2"
"2024-03-20 18:47:21.418","3"
"2024-03-20 18:47:22.420","6"
"2024-03-20 18:49:27.193","7"
"2024-03-20 18:49:31.202","2"
"2024-03-20 18:55:23.679","6"
"2024-03-20 18:56:44.336","7"
"2024-03-20 18:56:50.350","2"
"2024-03-20 18:57:08.387","6"
"2024-03-20 19:00:01.804","7"
"2024-03-20 19:00:07.817","2"
"2024-03-20 19:00:35.886","6"
"2024-03-20 19:02:17.410","7"
"2024-03-20 19:02:23.483","2"
"2024-03-20 19:05:47.595","6"
"2024-03-20 19:08:59.553","7"
"2024-03-20 19:09:02.557","2"
"2024-03-20 19:09:14.578","3"
"2024-03-20 19:09:17.585","6"
"2024-03-20 19:15:09.883","7"
"2024-03-20 19:15:14.889","2"
"2024-03-20 19:19:31.596","3"
"2024-03-20 19:19:33.598","2"
"2024-03-20 19:19:57.737","3"
"2024-03-20 19:20:02.745","6"
"2024-03-20 19:22:02.636","7"
"2024-03-20 19:22:06.640","2"
"2024-03-20 19:22:09.663","3"
"2024-03-20 19:22:11.691","6"
"2024-03-20 19:22:12.693","2"
"2024-03-20 19:23:45.906","3"
"2024-03-20 19:23:47.911","6"
"2024-03-20 19:26:48.853","7"
"2024-03-20 19:26:51.860","2"
"2024-03-20 19:27:17.914","6"
"2024-03-20 19:28:26.566","7"
"2024-03-20 19:28:29.569","2"
"2024-03-20 19:28:58.901","6"
"2024-03-20 19:29:37.529","7"
"2024-03-20 19:29:42.540","2"
"2024-03-20 19:31:10.933","6"
"2024-03-20 19:31:32.476","2"
"2024-03-20 19:35:23.713","3"
"2024-03-20 19:35:25.713","2"
"2024-03-20 19:35:30.722","3"
"2024-03-20 19:35:31.724","6"
"2024-03-20 19:36:02.799","7"
"2024-03-20 19:36:08.810","2"
"2024-03-20 19:36:54.937","3"
"2024-03-20 19:36:55.940","6"
"2024-03-20 19:37:57.739","7"
"2024-03-20 19:38:01.243","2"
"2024-03-20 19:38:41.886","3"
"2024-03-20 19:38:42.885","6"
"2024-03-20 19:44:49.125","7"
"2024-03-20 19:44:51.632","2"
"2024-03-20 19:46:40.858","6"
"2024-03-20 19:49:05.190","7"
"2024-03-20 19:49:07.700","2"
"2024-03-20 20:01:23.781","6"
"2024-03-20 20:02:00.846","7"
"2024-03-20 20:02:02.847","2"
"2024-03-20 20:02:58.735","3"
"2024-03-20 20:02:59.739","6"
"2024-03-20 20:04:52.967","7"
"2024-03-20 20:04:55.975","2"
"2024-03-20 20:05:25.039","3"
"2024-03-20 20:05:28.046","6"
"2024-03-20 20:09:33.684","7"
"2024-03-20 20:09:39.696","2"
"2024-03-20 20:13:57.812","6"
"2024-03-20 20:16:24.734","7"
"2024-03-20 20:16:28.741","2"
"2024-03-20 20:24:14.673","6"
"2024-03-20 20:26:42.001","7"
"2024-03-20 20:26:47.014","2"
"2024-03-20 20:27:16.074","6"
"2024-03-20 20:29:43.054","7"
"2024-03-20 20:29:46.060","2"
"2024-03-20 20:34:00.824","3"
"2024-03-20 20:34:02.830","6"
"2024-03-20 20:35:57.717","7"
"2024-03-20 20:36:04.764","2"
"2024-03-20 20:39:12.137","6"
"2024-03-20 20:41:38.852","7"
"2024-03-20 20:41:43.859","2"
"2024-03-20 20:46:18.169","3"
"2024-03-20 20:46:19.169","6"
"2024-03-20 20:48:02.955","7"
"2024-03-20 20:48:08.967","2"
"2024-03-20 21:23:44.134","3"
"2024-03-20 21:23:46.138","6"
"2024-03-20 21:46:22.023","7"
"2024-03-20 21:46:28.035","2"
"2024-03-20 21:46:51.081","6"
"2024-03-20 21:50:54.202","7"
"2024-03-20 21:51:00.237","2"
"2024-03-20 21:51:47.851","6"
"2024-03-20 21:53:59.208","7"
"2024-03-20 21:54:05.223","2"
"2024-03-20 21:57:50.168","6"
"2024-03-20 21:59:23.848","7"
"2024-03-20 21:59:28.860","2"
"2024-03-20 22:00:25.976","6"
"2024-03-20 22:03:25.003","7"
"2024-03-20 22:03:29.014","2"
"2024-03-20 22:03:49.050","6"
"2024-03-20 22:07:03.968","7"
"2024-03-20 22:07:13.991","2"
"2024-03-20 22:08:50.170","3"
"2024-03-20 22:08:54.177","6"
"2024-03-20 22:15:59.259","7"
"2024-03-20 22:16:02.268","2"
"2024-03-20 22:16:08.780","3"
"2024-03-20 22:16:11.785","6"
"2024-03-20 22:17:06.901","7"
"2024-03-20 22:17:09.907","2"
"2024-03-20 22:17:14.915","3"
"2024-03-20 22:17:16.922","6"
"2024-03-20 22:17:19.931","2"
"2024-03-20 22:18:03.010","3"
"2024-03-20 22:18:05.024","6"
"2024-03-20 22:18:27.056","7"
"2024-03-20 22:18:33.067","2"
"2024-03-20 22:19:04.176","6"
"2024-03-20 22:20:20.831","7"
"2024-03-20 22:20:25.840","2"
"2024-03-20 22:20:51.905","3"
"2024-03-20 22:20:52.906","6"
"2024-03-20 22:22:11.066","7"
"2024-03-20 22:22:14.074","2"
"2024-03-20 22:22:50.162","6"
"2024-03-20 22:23:58.795","7"
"2024-03-20 22:24:00.796","6"
"2024-03-20 22:25:40.045","7"
"2024-03-20 22:25:42.053","2"
"2024-03-20 22:41:07.156","3"
"2024-03-20 22:41:11.164","6"
"2024-03-20 22:41:46.227","2"
